ORDER_NUMBER,DATE,TIME,EMAIL,COUNTRY,FIRST_NAME,LAST_NAME,ADDRESS,CITY,ZIP,PHONE,FIRST_NAME_SHIPPING,LAST_NAME_SHIPPING,ID_CARD,STATUS,NUMBER_PACK,NUMBER_STANDARD,NUMBER_EXCLUSIVE,PRICE
1,2023-6-6,3:43:15,hugo.fournier@hotmail.com,France,Hugo,Fournier,17 rue du Maréchal Foch,Strasbourg,67000,0645678901,Magou,Ebenezer,5,FAILED_PROCESSING,2,0,0,36.24
2,2023-6-6,3:49:19,hugo.fournier@hotmail.com,France,Hugo,Fournier,17 rue du Maréchal Foch,Strasbourg,67000,0645678901,Mendes,JB,4,FAILED_PROCESSING,,,,
3,2023-6-6,3:52:6,hugo.fournier@hotmail.com,France,Hugo,Fournier,17 rue du Maréchal Foch,Strasbourg,67000,0645678901,Royce,Lounge,1,FAILED_PROCESSING,,,,
4,2023-6-6,3:55:4,hugo.fournier@hotmail.com,France,Hugo,Fournier,17 rue du Maréchal Foch,Strasbourg,67000,0645678901,Royce,Lounge,1,FAILED_PROCESSING,,,,
5,2023-6-6,3:58:44,hugo.fournier@hotmail.com,France,Hugo,Fournier,17 rue du Maréchal Foch,Strasbourg,67000,0645678901,Ismael,Djebbar,1,FAILED_PROCESSING,,,,
6,2023-6-6,3:59:16,hugo.fournier@hotmail.com,France,Hugo,Fournier,17 rue du Maréchal Foch,Strasbourg,67000,0645678901,Aboubacar,Magassouba,2,FAILED_PROCESSING,,,,
7,2023-6-6,4:1:37,hugo.fournier@hotmail.com,France,Hugo,Fournier,17 rue du Maréchal Foch,Strasbourg,67000,0645678901,Linda,Ouchene,3,FAILED_PROCESSING,,,,
8,2023-6-6,4:5:35,hugo.fournier@hotmail.com,France,Hugo,Fournier,17 rue du Maréchal Foch,Strasbourg,67000,0645678901,Sabrina,Djebbar,1,pending,,,,
9,2023-6-6,4:9:45,hugo.fournier@hotmail.com,France,Hugo,Fournier,17 rue du Maréchal Foch,Strasbourg,67000,0645678901,Ryad,Mebarki,3,FAILED_PROCESSING,,,,
10,2023-6-6,4:14:18,hugo.fournier@hotmail.com,France,Hugo,Fournier,17 rue du Maréchal Foch,Strasbourg,67000,0645678901,Aboubacar,Magassouba,5,FAILED_PROCESSING,,,,
11,2023-6-6,4:17:19,hugo.fournier@hotmail.com,France,Hugo,Fournier,17 rue du Maréchal Foch,Strasbourg,67000,0645678901,Royce,Lounge,1,FAILED_PROCESSING,,,,
12,2023-6-6,4:20:29,hugo.fournier@hotmail.com,France,Hugo,Fournier,17 rue du Maréchal Foch,Strasbourg,67000,0645678901,Linda,Ouchene,3,COMPLETED,1,0,0,20.48
13,2023-6-6,4:26:55,chloé.rousseau@gmail.com,France,Chloé,Rousseau,29 boulevard des Alpes,Grenoble,38000,0612345678,Magou,Ebenezer,3,FAILED_PROCESSING,,,,
14,2023-6-6,4:27:27,chloé.rousseau@gmail.com,France,Chloé,Rousseau,29 boulevard des Alpes,Grenoble,38000,0612345678,Ismael,Djebbar,2,FAILED_PROCESSING,,,,
15,2023-6-6,4:35:11,chloé.rousseau@gmail.com,France,Chloé,Rousseau,29 boulevard des Alpes,Grenoble,38000,0612345678,Michael,Bedia,6,FAILED_PROCESSING,,,,
16,2023-6-6,4:35:48,chloé.rousseau@gmail.com,France,Chloé,Rousseau,29 boulevard des Alpes,Grenoble,38000,0612345678,Hakim,Zerouali,2,FAILED_PROCESSING,,,,
17,2023-6-6,4:38:53,chloé.rousseau@gmail.com,France,Chloé,Rousseau,29 boulevard des Alpes,Grenoble,38000,0612345678,Linda,Ouchene,1,FAILED_PROCESSING,,,,
18,2023-6-6,4:40:53,chloé.rousseau@gmail.com,France,Chloé,Rousseau,29 boulevard des Alpes,Grenoble,38000,0612345678,Areski,Djebbar,3,FAILED_PROCESSING,,,,
19,2023-6-6,4:41:24,chloé.rousseau@gmail.com,France,Chloé,Rousseau,29 boulevard des Alpes,Grenoble,38000,0612345678,Michael,Bedia,3,FAILED_PROCESSING,,,,
20,2023-6-6,4:41:56,chloé.rousseau@gmail.com,France,Chloé,Rousseau,29 boulevard des Alpes,Grenoble,38000,0612345678,Aboubacar,Magassouba,4,COMPLETED,1,0,0,20.48
21,2023-6-6,4:49:4,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Royce,Lounge,1,FAILED_PROCESSING,,,,
22,2023-6-6,4:51:49,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Linda,Ouchene,4,FAILED_PROCESSING,,,,
