ORDER_NUMBER,DATE,TIME,EMAIL,COUNTRY,FIRST_NAME,LAST_NAME,ADDRESS,CITY,ZIP,PHONE,ID_CARD,STATUS,NUMBER_PACK,NUMBER_STANDARD,NUMBER_EXCLUSIVE,PRICE,MONDIALRELAIS
1,2023-5-31,2:28:13,AliSphene940@gmail.com,France,Ali,Zerouali,8 Rue du Clos Vougeot,Créteil,94000,0609234567,1,COMPLETED,2,0,0,34.95,JANA MARKET2 RUE CALMETTE94000 - CRETEIL
2,2023-5-31,2:37:1,AliSphene940@gmail.com,France,Ali,Zerouali,8 Rue du Clos Vougeot,Créteil,94000,0609234567,1,COMPLETED,1,1,0,29.95,JANA MARKET2 RUE CALMETTE94000 - CRETEIL
3,2023-5-31,2:43:17,EbenezerRap932@gmail.com,France,Magou,Ebenezer,16 rue Salvador Allende,Stains,93240,0610234567,4,COMPLETED,2,0,0,34.95,AFRICA93 - 40 AVENUE LOUIS BORDES - 93240 - STAINS
4,2023-5-31,2:51:12,Lindagera932@gmail.com,France,Linda,Ouchene,2 rue Paul Verlaine,La Courneuve,93120,0611234567,4,COMPLETED,2,0,0,34.95,SSOMAN ALIMENTATION - 30 RUE BEAUFILS - 93120 - LA COURNEUVE
5,2023-5-31,2:58:34,DjebbarPuff934@gmail.com,France,Areski,Djebbar,5 rue du Président Georges Pompidou,Dugny,93440,0612234567,4,COMPLETED,1,0,0,19.64,LOCKER 24/7 LIDL CERDAN - 3 RUE MARCEL CERDAN - 95140 - GARGES-LES-GONESSE
6,2023-5-31,3:7:17,MebarkiZap951@gmail.com,France,Ryad,Mebarki,36 rue Jean Moulin,Garges les Gonesse,95140,0613234567,5,FAILED_PROCESSING,2,0,0,34.95,LE PAIN DORE - 17 AVENUE FREDERIC JOLIOT-CURIE - 95140 - GARGES-LES-GONESSE
17,2023-5-31,14:6:6,Djebbarux951@gmail.com,France,Sabrina,Djebbar,9 rue des Doucettes,Garges les Gonesses,95140,0614234567,3,FAILED_PROCESSING,2,0,0,34.95,LE PAIN DORE17 AVENUE FREDERIC JOLIOT-CURIE95140 - GARGES-LES-GONESSE
19,2023-5-31,14:25:6,BediaGold942@gmail.com,France,Michael,Bedia,65 boulevard Hippolyte Marques,Ivry Sur Seine,94200,0615234567,4,COMPLETED,2,0,0,34.95,BUREAU DE POSTE COMMUNAL8 GRANDE COUR77990 - LE MESNIL-AMELOT
16,2023-5-31,14:58:27,JBMendes956@gmail.com,France,Mendes,JB,5 avenue Albert 1er,Eaubonne,95600,0616234567,3,COMPLETED,2,0,0,34.95,BOULANGERIE ARIJ76 RUE EDOUARD VAILLANT95600 - EAUBONNE
19,2023-5-31,15:24:7,DjebbarSelf779@gmail.com,France,Ismael,Djebbar,6 rue de Bosnier,Le Mesnil Amelot,77990,0617234567,2,COMPLETED,2,0,0,34.95,BUREAU DE POSTE COMMUNAL8 GRANDE COUR77990 - LE MESNIL-AMELOT
24,2023-5-31,15:40:13,ZeroualiZap940@gmail.com,France,Hakim,Zerouali,1 allee de la cote d'or,Créteil,94000,0618234567,5,COMPLETED,2,0,0,34.95,JANA MARKET2 RUE CALMETTE94000 - CRETEIL
26,2023-5-31,15:56:6,AliMelinda940@gmail.com,France,Ali,Zerouali,8 Rue du Clos Vougeot,Créteil,94000,0619234567,3,COMPLETED,2,0,0,34.95,JANA MARKET2 RUE CALMETTE94000 - CRETEIL
33,2023-5-31,17:16:15,EbenezerRap932@gmail.com,France,Magou,Ebenezer,16 rue Salvador Allende,Stains,93240,0620234567,1,COMPLETED,2,0,0,34.95,NO PG
42,2023-5-31,18:36:25,OucheneDuchess931@outlook.com,France,Linda,Ouchene,2 rue Paul Verlaine,La Courneuve,93120,0621234567,3,COMPLETED,2,0,0,34.95,
52,2023-5-31,19:18:3,AreskiGold934@outlook.com,France,Areski,Djebbar,5 rue du Président Georges Pompidou,Dugny,93440,0622234567,4,COMPLETED,2,0,0,34.95,NO PR
54,2023-5-31,19:45:52,RyadZap951@outlook.com,France,Ryad,Mebarki,36 rue Jean Moulin,Garges les Gonesse,95140,0623234567,3,COMPLETED,1,0,1,29.95,
59,2023-5-31,20:19:15,SabrinaZap951@outlook.com,France,Sabrina,Djebbar,9 rue des Doucettes,Garges les Gonesses,95140,0624234567,2,COMPLETED,2,0,0,19.64,LE PAIN DORE17 AVENUE FREDERIC JOLIOT-CURIE95140 - GARGES-LES-GONESSE
60,2023-5-31,20:41:26,MichaelGold942@outlook.com,France,Michael,Bedia,65 boulevard Hippolyte Marques,Ivry Sur Seine,94200,0625234567,4,COMPLETED,1,0,0,19.64,PC PHONE147 AVENUE DE VERDUN94200 - IVRY-SUR-SEINE
61,2023-5-31,21:22:38,JBMendes956@outlook.com,France,Mendes,JB,5 avenue Albert 1er,Eaubonne,95600,0626234567,4,COMPLETED,2,0,0,34.95,BOULANGERIE ARIJ76 RUE EDOUARD VAILLANT95600 - EAUBONNE
62,2023-5-31,22:24:33,IsmaelDuchess779@outlook.com,France,Ismael,Djebbar,6 rue de Bosnier,Le Mesnil Amelot,77990,0627234567,1,COMPLETED,2,0,0,34.95,BUREAU DE POSTE COMMUNAL8 GRANDE COUR77990 - LE MESNIL-AMELOT
73,2023-6-1,1:44:40,HakimZap940@outlook.com,France,Hakim,Zerouali,1 allee de la cote d'or,Créteil,94000,0628234567,3,COMPLETED,2,0,0,34.95,
74,2023-6-1,1:58:17,AliMelinda940@outlook.com,France,Ali,Zerouali,8 Rue du Clos Vougeot,Créteil,94000,0629234567,4,COMPLETED,2,0,0,34.95,
